refArea,Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Observation URI,references,publisher,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,dataset
https://dbpedia.org/resource/Mount_Lebanon_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaynab,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aaynab,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Baalbek-Hermel_Governorate,5.7e+01,4.3e+01,2.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaynata+Baalbek,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2.5e+01,0,Aaynata Baalbek,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaynata+Bent+Jbeil,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aaynata Bent Jbeil,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Akkar_Governorate,5.5e+01,4.5e+01,1.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayoun+Aakkar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3.5e+01,0,Aayoun Aakkar,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Akkar_Governorate,6e+01,4e+01,7e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayoun+El-Ghizlane,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,4e+01,0,Aayoun El-Ghizlane,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,6e+01,4e+01,4e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayoun+El-Matn,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,4.5e+01,0,Aayoun El-Matn,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,5e+01,5e+01,1.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayroun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1.5e+01,1,Aayroun,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5.5e+01,4.5e+01,3.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayta+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,6.5e+01,0,Aayta Ech-Chaab,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Beqaa_Governorate,5e+01,5e+01,2e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aayta+El-Foukhar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,5e+01,0,Aayta El-Foukhar,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Beqaa_Governorate,5e+01,5e+01,3e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaytanit,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2e+01,0,Aaytanit,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,5.2e+01,4.8e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaytat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2e+01,1,Aaytat,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5.8e+01,4.2e+01,3e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaytit,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,7e+00,0,Aaytit,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5e+01,5e+01,1.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aazour,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2.5e+01,0,Aazour,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/North_Governorate,4e+01,6e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aazqai,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3e+01,0,Aazqai,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,5.5e+01,4.5e+01,1.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aazra+ouel+Aazr,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,9e+00,0,Aazra ouel Aazr,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aazzi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aazzi,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Beqaa_Governorate,4.5e+01,5.5e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Ablah,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2.5e+01,0,Ablah,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Abou+Mizan,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Abou Mizan,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
